Entity Name (Excel),Wing,Channel Name,Subscriber Count,Total Views,Total Videos,Last Upload Date,Created Date,Region (API),Channel ID
Administration Wing,BK Hindi,Brahma Kumaris,704000,112285326,4984,2025-12-23,2007-03-07,IN,UCUDKhNE_Y_DVkFx1nFNZTWQ
Administration Wing,Wings,Administration wing,534,27433,158,2025-03-30,2012-02-22,Unknown,UCUpMVT28UD4sStVOXagHUug
Yogic Kheti,Wings,Shashwat Yogic Kheti - Rural Wing Brahma Kumaris,2250,99960,261,2025-12-15,2015-10-11,IN,UC30NvyZjRmdrLvsZ3VFEHpQ
BK Art Wing,Wings,Art & Culture Wing,564,43729,126,2024-02-20,2012-02-27,IN,UCjH-o05YhKvJFfD5fR0pnJA
Business & Industry Wing,Wings,Business & Industry Wing-RERF- Brahma Kumaris,33,550,9,2024-01-01,2017-02-02,IN,UC6Ym9WLXxzV2tDCj39zorUg
Education Wing,Wings,Education Wing RERF,26400,2161946,941,2025-12-22,2020-06-01,IN,UCFACN6E_0gRsDlk9Zzd31WQ
BK IT Wing,Wings,IT WING - Brahma Kumaris,36900,3982048,939,2025-12-21,2014-10-04,IN,UCYCAYFgoaBn8vzRYXHuTZiA
BK Jurists Wing,Wings,BK Jurists Wing (RERF),606,42548,83,2025-10-08,2023-10-22,Unknown,UCkX16g5aVEcp9hQOAaUJ1aw
BK Media Wing,Wings,BK Media Wing,4370,279527,485,2025-12-23,2014-04-20,IN,UC7U65334H-ddTZbGu0kTvZg
BK Medical Wing,Wings,BK Medical Wing,197,5712,45,2025-09-15,2020-12-15,IN,UCYJrPmZ8Pv5We-u7Pbo68VQ
BK Security Wing,Wings,Security Services Wing - Brahma Kumaris,9530,573171,1472,2025-12-13,2015-02-03,IN,UCUxekvzpEVR9r78vxYNOGKg
Say Wing,Wings,SAT Wing-RERF- Brahma Kumaris,117,5288,22,2025-09-23,2020-08-30,Unknown,UC9SQoGGuMIUuPH1tQT5Fe3A
BK Social Wing,Wings,Social Service Wing - Brahma Kumaris,3650,279204,350,2025-12-21,2014-02-10,IN,UCJrtJX9R241PFJQ7dPeVK_A
Sparc Wing,Wings,SpARC Wing - Madhuban,21600,1862733,1391,2025-12-23,2020-09-10,IN,UCikH6f53KZvK-hats6hFJtg
Sports Wing,Wings,Sports Wing Brahma Kumaris,4780,590016,234,2025-11-30,2010-09-22,IN,UCa9Rk4piNuVvHTHXfmcFLxg
Transport Wing,Wings,Brahma Kumaris Transport Wing,10400,787125,205,2025-11-06,2015-11-13,IN,UCig17vCFDNYMmxq-Raa_aSQ
BK Women Wing,Wings,BK Women Wing,12500,3773361,120,2025-11-24,2014-06-03,IN,UCBLmKtSV3vftCXa2F7V9VSw
Youth Wing,Wings,Youth Wing-RERF- Brahma Kumaris,5100,176888,185,2025-06-16,2014-02-14,IN,UCPoZwj8IidJL6mB_0q8p5SQ
BK DI Wing,Seva,Design & Innovation - RE&RF - Brahma Kumaris,6,246,6,2025-12-10,2025-04-24,Unknown,UCB6jer7WUM1J_s5tSGQuW3g
Awakening TV,TV Media,Awakening TV,512000,76788773,3316,2025-12-23,2013-12-19,IN,UCQ8kxAu_on_YzVPMjB03rqA
Peace of Mind TV,TV Media,Peace of Mind TV,1720000,389792642,11661,2025-12-23,2012-05-16,IN,UCmw4wZ3FRso2TsS36FQ6heA
Godlywood Studio,TV Media,Godlywood Studio,849000,227259601,22222,2025-12-23,2014-01-21,IN,UCtex25LnQET78C1bNqNuThg
Om Shanti Channel,TV Media,Om Shanti Channel GWS,1320000,386900606,12434,2025-12-23,2014-03-18,IN,UCUcvsN9Jqc4RzVvMlJ1y_FA
Om Shanti Musics,TV Media,Brahma Kumaris Om Shanti Music,204000,51146887,3788,2025-12-23,2007-05-17,IN,UCHlv3wd98vwjY2IemIFIqnA
Brahma Kumaris Music,TV Media,Brahma Kumaris Music,3610,267756,56,2025-12-19,2017-05-16,IN,UCmjhViJ2f2WZQEle9C3pLMQ
Brahma Kumaris News,TV Media,Brahma Kumaris News,12900,1343290,451,2025-12-23,2017-12-09,Unknown,UC1WIjZOzvc7KJqgrl167UTg
Brahma Kumaris Events,TV Media,Brahma Kumaris Events,3320,500976,48,2025-12-23,2020-07-09,Unknown,UC3RjCO_9LLJmUEy-XPHRVew
Radio Madhuban,Radios,Radio Madhuban 107.8 FM,8640,670170,2926,2025-12-18,2011-08-14,IN,UCpIa1Enmbrv3bWsiGd9Sg-w
Radio Sabarmati,Radios,Radio Sabarmati 89.6 FM,166,3749,11,2025-11-09,2022-12-09,Unknown,UCkrT7Ja2BcxK1zq-gayr_JQ
Radio Manjeera,Radios,Radio Manjeera,145,5557,93,2023-06-21,2020-04-07,Unknown,UC08Vfh2wUPYYwEAgN0R1r3w
Puneri Awaz,Radios,Puneri Awaz 107.8 FM Community Radio,321,37814,53,2024-02-07,2017-10-29,IN,UC7twd1VXDGkYPJ75T8GhVJA
Gyan Sarovar Academy,Academy,Gyan Sarovar,66900,7214413,3335,2025-12-15,2015-05-23,IN,UCrn6wFv6_rxhddXl9ayRDNg
Brahma Kumaris TN,BK Tamil,Brahma Kumaris TN,34600,10440576,8374,2025-12-23,2017-06-16,IN,UCYfMGhyXN9laRF2CgDlrOMQ
BK Jayanti,Rajyog Teachers,BKJayanti,22000,1759730,161,2025-11-10,2011-03-14,IN,UCHfL72eSMt3EOUj_c8-pWgw
BK Shivani,Rajyog Teachers,BKShivani,6340000,1010978600,2232,2025-12-23,2010-08-31,IN,UCQdyCrZpGq4Bbu6V8LPUDWg
BK Usha,Rajyog Teachers,BK Usha Madhuban,446000,103711543,3178,2025-12-23,2011-11-04,IN,UCbldwxotHkXXtUYoC0jzVTw
BK Geeta,Rajyog Teachers,"BK Geeta, Madhuban",470,12199,96,2022-07-24,2020-05-18,IN,UC_bcel8eUG80Sk5ZW5IvHUw
BK Raju,Rajyog Teachers,"BK Raju Bhai, Brahma Kumaris",53600,8382940,2033,2025-12-23,2012-09-15,IN,UCdjxb7P0G7p9pMBWEiBwlLA
BK Brijmohan,Rajyog Teachers,BK Brijmohan,1120,78400,514,2025-12-09,2020-07-02,Unknown,UCFVaWOVSE9dO8q8U8f_pXow
